,customer_id,article_id,Bought
0,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,817361007,1
1,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,822959001,1
2,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,853474004,1
3,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,865594003,1
4,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,865699001,1
5,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,888024005,1
6,0003e867a930d0d6842f923d6ba7c9b77aba33fe2a0fbf4672f30b3e622fec55,784053005,1
7,0003e867a930d0d6842f923d6ba7c9b77aba33fe2a0fbf4672f30b3e622fec55,873217004,1
8,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,716947009,1
9,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,752514003,1
10,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,765773004,1
11,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,821163008,1
12,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,838340003,1
13,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,870290003,1
14,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,888484001,1
15,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,900235003,1
16,000d3ae6f3d047f12c5caa2c0125f7f6bb0475c0bdc3e20347be8b0ccada597c,901928001,1
17,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,640021019,1
18,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,880312003,1
19,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,903357001,1
20,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,914893001,1
21,0024dea548c64fb75a563e0b300c0b16210decee446f1aa9ed6dcf2cc965d462,818397005,1
22,0024dea548c64fb75a563e0b300c0b16210decee446f1aa9ed6dcf2cc965d462,828934002,1
